Año,Mes,Grupo,Subgrupo,Indicador_grup,Indicador
2012,Junio,Alimentos y No alimentos,Alimentos,5.28,Variación anual
2012,Junio,Alimentos y No alimentos,Alimentos,2.67,Variación acumulada
2012,Julio,Alimentos y No alimentos,Alimentos,93.43,Índice
2012,Julio,Alimentos y No alimentos,Alimentos,0.32,Variación mensual
2012,Julio,Alimentos y No alimentos,Alimentos,5.6,Variación anual
2012,Julio,Alimentos y No alimentos,Alimentos,3,Variación acumulada
2012,Agosto,Alimentos y No alimentos,Alimentos,93.85,Índice
2012,Agosto,Alimentos y No alimentos,Alimentos,0.45,Variación mensual
2012,Agosto,Alimentos y No alimentos,Alimentos,5.36,Variación anual
2012,Agosto,Alimentos y No alimentos,Alimentos,3.47,Variación acumulada
2012,Septiembre,Alimentos y No alimentos,Alimentos,95.68,Índice
2012,Septiembre,Alimentos y No alimentos,Alimentos,1.94,Variación mensual
2012,Septiembre,Alimentos y No alimentos,Alimentos,6.3,Variación anual
2012,Septiembre,Alimentos y No alimentos,Alimentos,5.48,Variación acumulada
2012,Octubre,Alimentos y No alimentos,Alimentos,95.61,Índice
2012,Octubre,Alimentos y No alimentos,Alimentos,-0.07,Variación mensual
2012,Octubre,Alimentos y No alimentos,Alimentos,6,Variación anual
2012,Octubre,Alimentos y No alimentos,Alimentos,5.41,Variación acumulada
2012,Noviembre,Alimentos y No alimentos,Alimentos,95.79,Índice
2012,Noviembre,Alimentos y No alimentos,Alimentos,0.19,Variación mensual
2012,Noviembre,Alimentos y No alimentos,Alimentos,5.43,Variación anual
2012,Noviembre,Alimentos y No alimentos,Alimentos,5.61,Variación acumulada
2012,Diciembre,Alimentos y No alimentos,Alimentos,95.21,Índice
2012,Diciembre,Alimentos y No alimentos,Alimentos,-0.6,Variación mensual
2012,Diciembre,Alimentos y No alimentos,Alimentos,4.97,Variación anual
2012,Diciembre,Alimentos y No alimentos,Alimentos,4.97,Variación acumulada
2013,Enero,Alimentos y No alimentos,Alimentos,95.74,Índice
2013,Enero,Alimentos y No alimentos,Alimentos,0.56,Variación mensual
2013,Enero,Alimentos y No alimentos,Alimentos,5.05,Variación anual
2013,Enero,Alimentos y No alimentos,Alimentos,0.56,Variación acumulada
2013,Febrero,Alimentos y No alimentos,Alimentos,95.6,Índice
2013,Febrero,Alimentos y No alimentos,Alimentos,-0.15,Variación mensual
2013,Febrero,Alimentos y No alimentos,Alimentos,3.85,Variación anual
2013,Febrero,Alimentos y No alimentos,Alimentos,0.41,Variación acumulada
2013,Marzo,Alimentos y No alimentos,Alimentos,96.34,Índice
2013,Marzo,Alimentos y No alimentos,Alimentos,0.77,Variación mensual
2013,Marzo,Alimentos y No alimentos,Alimentos,2.14,Variación anual
2013,Marzo,Alimentos y No alimentos,Alimentos,1.18,Variación acumulada
2013,Abril,Alimentos y No alimentos,Alimentos,96.16,Índice
2013,Abril,Alimentos y No alimentos,Alimentos,-0.19,Variación mensual
2013,Abril,Alimentos y No alimentos,Alimentos,2.38,Variación anual
2013,Abril,Alimentos y No alimentos,Alimentos,0.99,Variación acumulada
2013,Mayo,Alimentos y No alimentos,Alimentos,95.29,Índice
2013,Mayo,Alimentos y No alimentos,Alimentos,-0.9,Variación mensual
2013,Mayo,Alimentos y No alimentos,Alimentos,2.36,Variación anual
2013,Mayo,Alimentos y No alimentos,Alimentos,0.08,Variación acumulada
2013,Junio,Alimentos y No alimentos,Alimentos,94.68,Índice
2013,Junio,Alimentos y No alimentos,Alimentos,-0.64,Variación mensual
2013,Junio,Alimentos y No alimentos,Alimentos,1.67,Variación anual
